link,child_link,link_rpy,link_xyz,link_size,link_color,link_mass,link_ixx,link_ixy,link_ixz,link_iyy,link_iyz,link_izz,joint_type,joint_rpy,joint_xyz,joint_axis,joint_effort,joint_lower,joint_upper,joint_velocity
world,base_link,0 0 0,0 0 0,0.05 0.05 0.02,gray,0.02,0.00001,0,0,0.00001,0,0.00001,fixed,0 0 0,0 0 0,0 0 0,0,0,0,0
base_link,joint1,0 0 0,0 0 0.082,0.04 0.04 0.08,blue,0.13,0.0002,0,0,0.0002,0,0.0002,revolute,0 0 0,0 0 0.082,0 0 1,0.147,-2.8798,2.8798,6.2832
joint1,joint2,0 0 0,0 0 0.089,0.04 0.04 0.08,green,0.12,0.0001,0,0,0.0001,0,0.0001,revolute,0 0 0,0 0 0.089,0 1 0,0.147,-2.8798,2.8798,6.2832
joint2,joint3,0 0 0,0 0 0.105,0.04 0.04 0.08,red,0.10,0.00015,0,0,0.00015,0,0.00015,revolute,0 0 0,0 0 0.105,0 1 0,0.147,-2.8798,2.8798,6.2832
joint3,joint4,0 0 0,0 0 0.085,0.03 0.03 0.06,orange,0.08,0.0001,0,0,0.0001,0,0.0001,revolute,0 0 0,0 0 0.085,1 0 0,0.147,-2.8798,2.8798,6.2832
joint4,joint5,0 0 0,0 0 0.068,0.02 0.02 0.04,purple,0.05,0.00008,0,0,0.00008,0,0.00008,revolute,0 0 0,0 0 0.068,0 1 0,0.147,-2.8798,2.8798,6.2832
joint5,joint6,0 0 0,0 0 0.062,0.02 0.02 0.04,cyan,0.03,0.00005,0,0,0.00005,0,0.00005,revolute,0 0 0,0 0 0.062,0 1 0,0.147,-2.8798,2.8798,6.2832
joint6,ee_link,0 0 0,0 0 0.100,0.05 0.05 0.02,gray,0.02,0.00001,0,0,0.00001,0,0.00001,fixed,0 0 0,0 0 0,0 0 0,0,0,0,0
